
         3      2422         0         1
       132 8.601180255999999+1 0.000000000000000+0 0.000000000000000+0
       133 8.701200256000000+1 0.000000000000000+0 0.000000000000000+0
       134 8.801220256000001+1 0.000000000000000+0 0.000000000000000+0
       135 8.901240255999999+1 0.000000000000000+0 0.000000000000000+0
       137 0.000000000000000+0 2.900279936000000+1 0.000000000000000+0
       138 0.000000000000000+0 2.800259936000000+1 0.000000000000000+0
       139 0.000000000000000+0 2.700239936000000+1 0.000000000000000+0
       140 0.000000000000000+0 2.600219936000000+1 0.000000000000000+0
       141 0.000000000000000+0 2.500199936000000+1 0.000000000000000+0
       142 0.000000000000000+0 2.400179936000000+1 0.000000000000000+0
       143 0.000000000000000+0 2.300159936000000+1 0.000000000000000+0
       144 0.000000000000000+0 2.200139936000000+1 0.000000000000000+0
       145 0.000000000000000+0 2.100119936000000+1 0.000000000000000+0
       146 0.000000000000000+0 2.000099936000000+1 0.000000000000000+0
       147 0.000000000000000+0 1.900079936000000+1 0.000000000000000+0
       148 0.000000000000000+0 1.800059936000000+1 0.000000000000000+0
       149 0.000000000000000+0 1.700039936000000+1 0.000000000000000+0
       150 0.000000000000000+0 1.600019936000000+1 0.000000000000000+0
       151 0.000000000000000+0 1.499999936000000+1 0.000000000000000+0
       152 0.000000000000000+0 1.399979936000000+1 0.000000000000000+0
       153 0.000000000000000+0 1.299959936000000+1 0.000000000000000+0
       154 0.000000000000000+0 1.199939936000000+1 0.000000000000000+0
       155 0.000000000000000+0 1.099919936000000+1 0.000000000000000+0
       156 0.000000000000000+0 9.998999359999997+0 0.000000000000000+0
       157 0.000000000000000+0 8.998799359999998+0 0.000000000000000+0
       158 0.000000000000000+0 7.998599360000000+0 0.000000000000000+0
       159 0.000000000000000+0 6.998399359999998+0 0.000000000000000+0
       160 0.000000000000000+0 5.998199359999998+0 0.000000000000000+0
       161 0.000000000000000+0 4.997999359999998+0 0.000000000000000+0
       162 0.000000000000000+0 3.997799359999999+0 0.000000000000000+0
       163 0.000000000000000+0 2.997599359999999+0 0.000000000000000+0
       164 0.000000000000000+0 1.997399359999999+0 0.000000000000000+0
       165 0.000000000000000+0 9.971993599999992-1 0.000000000000000+0
       168 8.900519744000000+1 3.000000000000000+1 0.000000000000000+0
       169 8.800499744000000+1 3.000000000000000+1 0.000000000000000+0
       170 8.700479744000001+1 3.000000000000000+1 0.000000000000000+0
       171 8.596080755860777+1 3.000000000000000+1 0.000000000000000+0
       172 8.496539146308006+1 3.000000000000000+1 0.000000000000000+0
       173 8.400419744000001+1 3.000000000000000+1 0.000000000000000+0
       174 8.319167374887607+1 3.000000000000000+1 0.000000000000000+0
       175 8.215729550570927+1 3.000000000000000+1 0.000000000000000+0
       176 8.105985668717144+1 3.000000000000000+1 0.000000000000000+0
       177 8.021486879741120+1 3.000000000000000+1 0.000000000000000+0
       178 7.920592210928050+1 3.000000000000000+1 0.000000000000000+0
       179 7.814341168001236+1 3.000000000000000+1 0.000000000000000+0
       180 7.700279744000000+1 3.000000000000000+1 0.000000000000000+0
       181 7.600259744000000+1 3.000000000000000+1 0.000000000000000+0
       182 7.500239744000000+1 3.000000000000000+1 0.000000000000000+0
       183 7.400219744000000+1 3.000000000000000+1 0.000000000000000+0
       184 7.300199744000000+1 3.000000000000000+1 0.000000000000000+0
       185 7.200179744000002+1 3.000000000000000+1 0.000000000000000+0
       186 7.100159744000000+1 3.000000000000000+1 0.000000000000000+0
       187 7.000139744000002+1 3.000000000000000+1 0.000000000000000+0
       188 6.900119744000000+1 3.000000000000000+1 0.000000000000000+0
       189 6.800099744000002+1 3.000000000000000+1 0.000000000000000+0
       190 6.700079744000000+1 3.000000000000000+1 0.000000000000000+0
       191 6.600059744000002+1 3.000000000000000+1 0.000000000000000+0
       192 6.500039744000000+1 3.000000000000000+1 0.000000000000000+0
       193 6.400019744000002+1 3.000000000000000+1 0.000000000000000+0
       194 6.299999744000000+1 3.000000000000000+1 0.000000000000000+0
       195 6.199979744000000+1 3.000000000000000+1 0.000000000000000+0
       196 6.099959744000000+1 3.000000000000000+1 0.000000000000000+0
       197 5.999939744000000+1 3.000000000000000+1 0.000000000000000+0
       198 5.899919744000000+1 3.000000000000000+1 0.000000000000000+0
       199 5.799899744000000+1 3.000000000000000+1 0.000000000000000+0
       200 5.699879744000000+1 3.000000000000000+1 0.000000000000000+0
       201 5.593077706185926+1 3.000000000000000+1 0.000000000000000+0
       202 5.495681199627862+1 3.000000000000000+1 0.000000000000000+0
       203 5.399819744000000+1 3.000000000000000+1 0.000000000000000+0
       204 5.315080846426944+1 3.000000000000000+1 0.000000000000000+0
       205 5.210855717908332+1 3.000000000000000+1 0.000000000000000+0
       206 5.099759744000000+1 3.000000000000000+1 0.000000000000000+0
       207 4.996286077572032+1 3.000000000000000+1 0.000000000000000+0
       208 4.899719744000000+1 3.000000000000000+1 0.000000000000000+0
       209 4.799699744000000+1 3.000000000000000+1 0.000000000000000+0
       210 4.699679744000000+1 3.000000000000000+1 0.000000000000000+0
       211 4.599659744000000+1 3.000000000000000+1 0.000000000000000+0
       212 4.499639744000000+1 3.000000000000000+1 0.000000000000000+0
       213 4.399619744000000+1 3.000000000000000+1 0.000000000000000+0
       214 4.299599744000000+1 3.000000000000000+1 0.000000000000000+0
       215 4.199579744000001+1 3.000000000000000+1 0.000000000000000+0
       216 4.099559744000001+1 3.000000000000000+1 0.000000000000000+0
       217 3.999539744000001+1 3.000000000000000+1 0.000000000000000+0
       218 3.899519744000001+1 3.000000000000000+1 0.000000000000000+0
       219 3.799499744000000+1 3.000000000000000+1 0.000000000000000+0
       220 3.699479744000001+1 3.000000000000000+1 0.000000000000000+0
       221 3.599459744000000+1 3.000000000000000+1 0.000000000000000+0
       222 3.499439744000001+1 3.000000000000000+1 0.000000000000000+0
